goal_id,kristal_id
2577404,14379
2622304,14379
3078082,15343
2622305,14379
3082148,12381
3083197,14428
3082272,12971
3084652,16229
3083199,14913
3082283,14771
3087394,24377
3082309,14479
3082327,14983
3084889,21798
3082413,15038
3082341,19488
3082553,16531
3083204,14895
3082556,16531
3083205,16171
3084894,16457
3087395,24377
3082571,16531
3083206,16171
3084914,22094
3042171,15348
3077594,14827
3077648,5450
3078472,16383
3077605,15335
3087406,15338
3083305,13997
3083307,13995
3005102,14826
3080170,13902
3077608,16171
3077655,14042
3079206,2880
3079208,2880
3079304,3394
3084926,12613
3080172,13902
2885472,14528
3077659,14395
3078474,16384
3078476,16385
2885470,14642
3014317,2880
2885471,14344
3085030,16275
3087425,24378
3026663,15697
2992568,4427
3078478,16386
3083413,20711
3087651,14379
2918792,15046
3083415,20710
2986193,14379
2822505,14379
2983117,8981
2500718,3321
2983118,3321
2772232,3602
2837400,3321
2924863,15047
3083445,2205
3083494,15338
2992567,4427
3085151,22659
2840392,15106
3083495,15338
2992559,3321
2541538,14204
2583013,3321
2610989,14767
238372,2880
3077718,15267
240240,2682
3087427,24377
3026664,15387
3077669,16076
3077716,15338
3077717,15338
3085276,2205
3077668,14713
3079341,16575
3079342,16575
3083497,15338
3085242,22659
3080178,16330
3080294,14510
3054897,3626
3077729,13998
3078482,16388
55858,3016
3080177,14479
3077755,15338
3077733,13996
3085279,2205
2961623,14379
3083629,14379
3077753,12613
3077756,15338
3078484,16381
3083628,4328
3085280,2205
3078480,16387
2460236,5008
2876418,14379
3079470,4328
3079351,14473
3085283,2205
2484495,3321
3077772,3200
3077798,13130
3079349,14473
3077835,2971
2992664,14379
3077850,14479
3078488,16380
3078540,3626
3077874,15338
3078486,16379
3078537,3626
3079471,4427
2740076,14379
2763442,14379
2778110,14379
3077875,12613
3078497,14379
3079475,3394
3079575,11953
2563578,14379
3077950,15387
3078554,12971
2840395,14379
3078610,14642
3077878,3321
3077879,3321
2861351,14379
2927907,14379
3077886,14126
3077955,7432
3077996,16225
2302121,13131
2702455,14379
2302125,2350
3077890,14123
