asset_id,kristal_id
,14834
1294289,14954
1289765,25163
,6309
,3042
,13781
1269365,2900
1298270,23183
1294156,14789
,2032
,13406
1290453,13511
5077,2270
1290218,13395
1266157,2885
1281127,5100
1293743,14457
,16057
,15884
,16187
1276729,13648
1278284,3696
,1666
4395,2276
,3056
,16060
,2109
1276774,3483
,16188
1296943,20213
1293328,13990
114410,16446
,1193
1282138,6046
1277284,3536
1274897,3247
,16189
1266127,2803
1294331,14970
,2851
,16190
1298140,22919
1294270,14912
,16191
1281114,5089
,1712
1281248,5189
1294252,14893
,13905
264344,14096
1294295,14931
1269380,2908
1293856,14472
1298681,23983
1273069,3106
1277885,3654
1288941,12526
212085,13662
1293793,14407
,16052
1294115,14744
1280420,4625
1273089,3141
1294857,15849
1280963,4991
1281476,5483
,2473
,1785
1290701,13656
,13732
1274926,3263
1293390,14048
1290330,13440
1293728,14342
1277863,3643
,2371
1271373,3020
,1633
,2163
,2499
1281609,5485
1269908,2966
1267536,2815
,2468
1290464,13514
1269369,2898
1299833,25010
1269340,2918
,15336
1289694,13192
,1516
1293809,14423
1269354,2936
1294461,15112
,2285
1269378,2912
1274905,3254
1295006,15633
1295710,16140
1294075,14696
,2150
,2040
1289431,13010
28690,14299
1293657,14266
1293562,14270
1293792,14406
1294366,15006
1297602,22095
,14208
1289060,12681
,13796
1295004,15631
1279364,4031
1269379,2916
114982,12417
28951,12380
1269372,2920
1269367,2935
1273111,3212
1294334,14973
,15398
224535,2273
1286723,10136
1290327,13437
1289273,12917
1283918,13731
,2282
1283260,7069
1290498,13528
1285007,9443
1269355,2939
1295506,15959
1293940,14572
1269387,2906
,2504
1299833,25012
1269376,2928
,468
,1443
1276060,3392
1269382,2933
1266101,2759
1293540,14175
,1746
1289765,13243
1263368,2609
133915,12519
,1684
,13782
1274901,3250
1276380,3445
1275315,3313
,1239
27383,14677
1280966,5001
,2161
1293315,13964
,1506
1287944,11786
1274904,3253
1290938,13841
1269368,2922
186329,2343
1290335,13449
,1200
,1040
1293748,14367
1299833,25013
1299833,25014
,2257
,2021
1269347,2904
1291031,13904
1280957,4956
1289595,13110
1282137,6088
1293568,14205
,2418
1290098,13344
1294194,14832
1269385,2938
1290804,13724
1297008,20511
1269374,2899
1294429,15099
1269384,2924
1295016,15643
1294732,15366
1269364,2897
1293940,14556
1294439,15096
,2155
1297719,22393
1289596,13111
1274922,3259
1287389,14555
1295018,15645
1296593,18631
1294165,14798
1269373,2934
,2215
4142,12512
1274894,3243
,16118
,2485
25468,3425
1289272,12916
1294275,14907
1274898,3248
5128,2269
1297122,20906
1289237,12875
1290097,13343
1276784,3489
,15261
4990,2283
1293756,14396
1269362,2919
1298766,24178
1293749,14368
1273791,3146
106432,14374
93003,13954
,541
1290385,13478
1274881,3236
1275998,3365
1293459,14137
1274923,3260
1290934,13837
,29
1279576,4264
1298892,24272
,2030
1282797,6573
1280849,4823
1281344,5285
1274702,3228
1293499,14148
1294483,15134
1295950,16320
1282796,6572
1295955,16327
1296203,16513
1280000,4460
4169,1940
26564,1997
4646,2274
1289702,13205
1285634,9773
,15882
,14348
1297723,22397
1228494,3509
1294428,15085
1294268,14902
,13675
1289723,13218
1266165,2946
1290349,13451
,2665
,2120
,2505
,2581
1294321,14963
1295742,16162
,2106
1290426,13490
1296885,19851
,2592
1276194,3403
1251924,2422
1296905,19982
1297278,21468
,2330
,2287
1290093,13342
1293524,14161
1294287,14923
1289761,13239
,2145
,2572
1279397,4064
1299285,24637
1294548,15319
1298438,23513
1298376,23414
176453,2308
1281347,5292
1289640,13132
,103
,15883
,105
,2137
1276056,3387
,16223
1290187,13383
1289340,12952
1251131,2397
1296489,17903
,469
1296882,19785
,2113
52230,13652
1257768,2446
1298895,24275
1290045,13316
1293332,13976
1289132,12746
1251923,2421
1293374,14022
,14099
1288740,12353
1262601,2558
1293258,13932
1276046,3376
26611,2698
1293752,14371
1294037,14673
1280962,4990
1279166,3967
,14883
1281972,5715
1287912,11754
1290252,13407
1289758,13236
1282137,6092
1290191,13380
1290099,13345
,14540
1290630,13622
1288934,12514
,2146
1289801,13272
1298439,23514
1278136,3680
1290317,13435
1294698,15342
1290785,13706
,14351
1290939,13844
1282139,6047
1294428,15079
1290185,13377
1282565,6374
1263555,2667
4984,3493
1289762,13246
,1727
,1992
1289571,13073
1276731,3480
1298513,23645
1287377,13251
1290186,13382
1293750,14369
1298317,23216
,2227
1294506,15155
1295705,16135
91414,13381
1294174,14809
1290050,13317
1273414,3110
,2156
1290588,13589
1294247,14884
1294747,15389
1262603,2595
1293915,14522
1289745,13227
1289782,13261
1290455,13512
1276548,3462
1293351,13999
1290364,13463
1280457,4692
1295493,15946
,1398
1289622,13225
1294244,14875
1294154,14782
1285865,9839
1289788,13267
1293894,14507
1281057,5054
1290784,13705
1289063,12684
,1499
1293723,14338
,569
79407,13402
1298053,22721
1298440,23515
1290092,13341
,13394
1298441,23516
1293459,14136
1290074,13329
,2420
1281938,5681
,16006
1280966,4995
1294243,14873
262061,15980
80998,13203
,1647
1294427,15074
1276538,3452
1294245,14880
1278294,3689
1293868,14483
1280422,4627
1293489,14138
1290739,13676
548147,2742
1290947,13849
1294244,14876
1280966,5010
1276547,3461
1294248,14889
1266175,2967
1277153,3533
1277358,3608
1276784,3488
1290504,13530
1284545,8585
1276940,3502
1294159,14799
