goal_id,kristal_id
3083205,16171
3077718,15267
3077894,16210
2307261,10829
2311212,13999
2311214,14000
2311220,14004
2311216,14040
2311218,14002
2311222,14005
2311227,14007
2311229,14006
2311232,14003
2316697,3626
2320600,13151
153641,4725
2639409,7432
2639410,3773
2639411,7433
2295521,13520
244641,2988
107300,2958
88109,3058
84632,2560
89001,2350
234532,2560
225977,3773
225978,7432
243243,2560
243432,3698
203855,2560
186938,3698
201824,2560
248204,2560
274557,4955
2295516,13515
2289083,3101
3088662,23216
3088667,13902
3088676,16457
3088682,13148
3088847,14824
3088849,14824
3078251,13007
3077644,14753
3077645,16157
211787,2350
3078864,16457
243874,3200
227495,2958
3087450,2428
253976,2958
3085307,22722
3087363,20544
3078924,3200
2834423,13771
2825491,3101
3079168,3626
2894514,5286
3079237,14301
2302873,5450
253722,2205
253972,2958
265447,12414
3084683,22097
3084682,22097
3086721,23982
3011238,13983
3086881,23647
3086883,22723
3011252,4328
2308873,13827
2558019,13694
191119,2560
2479078,2205
3070597,3321
3070594,12381
3070611,3321
2353028,3101
2558020,13007
2314334,3698
191783,2958
2303624,13388
116093,2205
145910,2350
221977,8981
39460,2320
89002,2350
40693,2353
2731338,13007
243289,2880
2281270,3117
3088613,22721
3088618,22721
3088648,23216
3088673,23414
3088677,16457
3088679,13321
3088688,13902
3081315,3058
3081620,12381
2317695,2205
3078250,13007
2309113,13148
2822509,3626
2765174,14983
2970827,15324
3085288,3101
2591353,14761
3084400,21997
3087289,20544
2858355,12612
3078085,12921
2970845,3626
151445,3058
3078338,14757
2858354,12491
3083218,2205
3087751,24637
3083796,2880
2312053,13902
2300256,2560
2303214,3117
2318556,2205
3087822,24639
2713344,12613
2964693,15324
2300458,13388
77574,2204
2992587,15267
3077387,6315
3078874,16457
2303514,13388
2302011,13388
2307517,10829
2699554,12613
2479076,2205
2308147,2205
2659374,2988
2285296,13007
2574628,14141
2290807,3101
273491,3058
274554,4955
274556,4955
140235,3735
2662226,12613
189447,3058
189449,3058
190663,2958
182222,2350
203858,2350
245299,2204
122829,2988
41327,2701
225291,2205
154957,2868
148529,3698
172863,2958
78076,3019
63705,2761
25964,2678
35554,2205
76027,2987
60266,2878
88997,2350
85368,2205
88108,3058
88110,3058
200138,2205
183835,3058
220995,4997
274561,4955
260934,2863
243430,3698
237065,2988
251176,2204
2289791,3101
254014,12528
256620,3422
262891,3058
264659,2205
246155,4955
267472,4955
226868,3058
191781,2958
2284698,13270
2293279,13388
2279586,2966
2285176,13278
2295317,13388
2286567,12922
3088582,24637
3088629,20808
3088631,20808
3088651,23216
3088658,22657
3088671,13321
3088678,16457
3077133,14250
3077433,15338
2326320,13902
3081007,17906
3078403,16401
3078811,14335
3078056,14753
3081187,15030
3080677,16408
3078405,2880
2460248,13834
3084649,22097
3078609,3527
2861346,15047
2992625,14983
2992626,3626
3084684,22097
3086606,21599
3087288,20544
