kristal_subscription_id,skey,fund_id,fkey
67394.0,0.0001|23518|1224590,17419.0,0.0001|23518|1224590
2069166.0,0.002|22275|1274546,20560.0,0.002|22275|1274546
49565.0,0.0036|29591|1272135,167048.0,0.0036|29591|1272135
2071472.0,0.0037|17505|1278475,54364.0,0.0037|17505|1278475
51937.0,0.004|23518|1274546,181883.0,0.004|23518|1274546
2071627.0,0.005|54041|1289039,,
2071182.0,0.006|43027|1293758,,
2071641.0,0.006|55805|1289039,181884.0,0.006|55805|1289039
2072137.0,0.0084|15865|1273278,,
2069580.0,0.021|49436|1275496,21381.0,0.021|49436|1275496
2069669.0,0.022|48924|1275496,21165.0,0.022|48924|1275496
2074226.0,0.06|18852|1294693,176647.0,0.06|18852|1294693
2069197.0,0.074|44384|1275496,21528.0,0.074|44384|1275496
2072243.0,0.107|17815|1275496,108748.0,0.107|17815|1275496
2074201.0,0.186|60603|1275496,176465.0,0.186|60603|1275496
2069494.0,0.372|49217|1275496,20953.0,0.372|49217|1275496
2068235.0,0.5083|43774|1279893,18180.0,0.5083|43774|1279893
2069515.0,0.535|43327|1275496,20983.0,0.535|43327|1275496
2068253.0,0.5753|44597|1270394,18527.0,0.5753|44597|1270394
2072244.0,0.689|16676|1275496,108745.0,0.689|16676|1275496
2074154.0,0.689|75629|1294693,176382.0,0.689|75629|1294693
2076831.0,0.781|62845|1294693,180273.0,0.781|62845|1294693
2074140.0,0.888|15672|1294693,176365.0,0.888|15672|1294693
2071610.0,0.933|47943|1275496,142880.0,0.933|47943|1275496
59391.0,0|10110|1247440,,
35463.0,0|10110|1274890,,
47051.0,0|10133|1223971,,
24442.0,0|10133|1224590,,
21414.0,0|10133|1244852,,
26694.0,0|10133|1263794,,
2074718.0,0|10133|1294693,,
2075846.0,0|10133|1296417,,
3820.0,0|10294|1223971,,
3767.0,0|10294|1225457,,
17028.0,0|10294|1244852,,
5524.0,0|10294|1247440,,
31318.0,0|10294|1271154,,
2069670.0,0|10294|1293422,,
2071105.0,0|10294|1293645,,
4486.0,0|10371|1211250,,
3968.0,0|10371|1247440,,
10934.0,0|10371|1263794,,
12650.0,0|10371|1264373,,
14584.0,0|10371|1264401,,
18518.0,0|10371|1266134,,
19806.0,0|10371|1266150,,
21430.0,0|10371|1266171,,
28529.0,0|10371|1271154,,
4117.0,0|10497|1247440,,
28526.0,0|10497|1271154,,
64076.0,0|10497|1274546,,
64075.0,0|10497|1279104,,
64074.0,0|10497|1281511,,
4256.0,0|10569|1223971,,
4258.0,0|10569|1225457,,
8798.0,0|10728,,
7729.0,0|10728,,
7901.0,0|10728,,
28516.0,0|10728|1223971,,
31591.0,0|10728|1224590,,
38123.0,0|10728|1244852,,
4485.0,0|10728|1247440,,
9771.0,0|10728|1262607,,
16274.0,0|10728|1263198,,
11099.0,0|10728|1263552,,
11409.0,0|10728|1263553,,
11839.0,0|10728|1264362,,
12686.0,0|10728|1264376,,
13507.0,0|10728|1264384,,
13963.0,0|10728|1264391,,
16024.0,0|10728|1266109,,
16942.0,0|10728|1266116,,
17949.0,0|10728|1266123,,
18048.0,0|10728|1266130,,
20946.0,0|10728|1266162,,
20947.0,0|10728|1266163,,
22449.0,0|10728|1266176,,
30544.0,0|10728|1266201,,
29292.0,0|10728|1268723,,
20884.0,0|10728|1269015,,
27138.0,0|10728|1271154,,
38198.0,0|10728|1276554,,
40669.0,0|10728|1278475,,
2071273.0,0|10728|1289466,,
2069743.0,0|10728|1291020,,
4989.0,0|10926|1225457,,
20727.0,0|10926|1247440,,
31223.0,0|10926|1269015,,
5120.0,0|10934|1247440,,
13256.0,0|10934|1264381,,
13292.0,0|10934|1264383,,
18047.0,0|10934|1266130,,
33980.0,0|10934|1269908,,
5526.0,0|11122|1222628,,
5525.0,0|11122|1223971,,
5391.0,0|11122|1225457,,
13268.0,0|11132|1224590,,
5884.0,0|11132|1225457,,
10518.0,0|11132|1244852,,
20738.0,0|11132|1247440,,
13269.0,0|11132|1263794,,
21401.0,0|11132|1269015,,
32881.0,0|11132|1269908,,
2071879.0,0|11132|1291020,,
8884.0,0|11328,,
5827.0,0|11328|1225457,,
21208.0,0|11328|1247440,,
23568.0,0|11328|1263198,,
11840.0,0|11328|1264362,,
11982.0,0|11328|1264366,,
15232.0,0|11328|1266097,,
17955.0,0|11328|1266124,,
31459.0,0|11328|1271154,,
66264.0,0|11328|1283688,,
8801.0,0|11510,,
7438.0,0|11510,,
10133.0,0|11510,,
6993.0,0|11510|1223971,,
7065.0,0|11510|1247440,,
11101.0,0|11510|1263554,,
12651.0,0|11510|1264372,,
14827.0,0|11510|1264402,,
15709.0,0|11510|1266106,,
16941.0,0|11510|1266116,,
18255.0,0|11510|1267189,,
33984.0,0|11510|1269908,,
49258.0,0|11510|1273420,,
2068194.0,0|11510|1277694,,
2068436.0,0|11510|1280816,,
49854.0,0|11510|1282466,,
66368.0,0|11510|1288737,,
2067982.0,0|11510|1289393,,
2068129.0,0|11510|1289429,,
2078152.0,0|11510|1296905,,
6999.0,0|11546,,
30455.0,0|11546|1223970,,
35179.0,0|11546|1224590,,
6560.0,0|11546|1225457,,
35554.0,0|11546|1273278,,
42566.0,0|11546|1278330,,
7341.0,0|11920|1225457,,
26734.0,0|11920|1244852,,
21705.0,0|11920|1247440,,
38214.0,0|11920|1270394,,
32111.0,0|11920|1273067,,
33120.0,0|11920|1273085,,
34561.0,0|11920|1273096,,
39485.0,0|11920|1275237,,
8892.0,0|11956|1247440,,
6707.0,0|11963|1247440,,
2074991.0,0|11963|1293656,,
10935.0,0|11969|1263794,,
6659.0,0|12062|1225457,,
6706.0,0|12062|1247440,,
6928.0,0|12078|1247440,,
7066.0,0|12185|1247440,,
40021.0,0|12185|1263198,,
12558.0,0|12185|1264369,,
12652.0,0|12185|1264371,,
16027.0,0|12185|1266110,,
18848.0,0|12185|1266139,,
20398.0,0|12185|1266153,,
23819.0,0|12185|1266189,,
32756.0,0|12185|1273081,,
37342.0,0|12185|1276239,,
2071916.0,0|12185|1291020,,
7437.0,0|12267,,
11778.0,0|12267,,
7094.0,0|12267,,
11573.0,0|12267,,
19853.0,0|12267|1224590,,
20737.0,0|12267|1247440,,
10411.0,0|12267|1263544,,
11097.0,0|12267|1263551,,
21004.0,0|12267|1263794,,
12024.0,0|12267|1264368,,
13179.0,0|12267|1264381,,
13642.0,0|12267|1264387,,
15216.0,0|12267|1264405,,
15480.0,0|12267|1266102,,
15482.0,0|12267|1266103,,
17532.0,0|12267|1266119,,
17962.0,0|12267|1266124,,
29293.0,0|12267|1268723,,
22950.0,0|12267|1269015,,
31003.0,0|12267|1271154,,
38186.0,0|12267|1276546,,
7068.0,0|12284|1225457,,
33573.0,0|12284|1244852,,
34604.0,0|12517|1247440,,
35115.0,0|12517|1274686,,
20730.0,0|12554|1247440,,
7442.0,0|12739,,
11411.0,0|12739,,
